Everything has changed.	semuanya telah berubah
But then, you always do.	tapi kemudian anda selalu melakukannya
If you have a lot with you.	jika anda memiliki banyak dengan anda
That is who they are.	itu adalah siapa mereka
And maybe do some other stuff too.	dan mungkin melakukan beberapa hal lain juga
But on the way, he stopped.	tapi di jalan dia berhenti
To be afraid.	untuk menjadi takut
And they can do it again.	dan mereka bisa melakukannya lagi
I was a different person then.	saya adalah orang yang berbeda saat itu
He got scared.	dia menjadi takut
Have children.	punya anak
It's just here.	itu hanya di sini
But even a little will be seen.	tetapi bahkan sedikit akan terlihat
That is the thing about speaking in this world.	itu adalah hal tentang berbicara di dunia ini
But that too, much more.	tapi itu juga lebih banyak lagi
It's not like that at all.	ini tidak seperti itu sama sekali
There may be a time and place for everything.	mungkin ada waktu dan tempat untuk semuanya
And that's actually good too.	dan itu juga sebenarnya bagus
That they were all dead.	bahwa mereka semua telah mati
Nothing is far away.	tidak ada lagi yang jauh
I only know what it is now.	aku hanya tahu apa itu sekarang
You should do more time outside.	anda harus melakukan lebih banyak waktu di luar
Here it is, now.	ini dia sekarang
It's impossible about this.	itu tidak mungkin tentang ini
This is interesting, but not important.	ini menarik tetapi tidak penting
This is partly true, but only partly.	ini sebagian benar tetapi hanya sebagian
Yes, do that.	ya lakukan itu
And it's not our people.	dan itu bukan orang kita
He is not afraid of anyone, and everyone is afraid of him.	dia tidak takut pada siapa pun dan semua orang takut padanya
Can't do it there.	tidak bisa melakukannya di sana
You can live off me.	anda bisa hidup dari saya
There could be many good reasons.	mungkin ada banyak alasan bagus
This is not something small.	ini bukan sesuatu yang kecil
You know, that would be interesting.	anda tahu itu akan menarik
Don't try to talk.	jangan mencoba untuk berbicara
All you have to do is.	yang harus anda lakukan adalah
After that, we entered the house.	setelah itu kami masuk ke dalam rumah
It just looks bad.	itu hanya terlihat buruk
One more thing a little.	satu hal lagi yang sedikit
Something like that could happen.	hal seperti itu bisa saja terjadi
Almost impossible in a worse place.	hampir tidak mungkin di tempat yang lebih buruk
This is really a great way to stay.	ini benarbenar cara yang bagus untuk tinggal
It couldn't be any other way.	itu tidak bisa lain
All that, if you like.	semua itu jika anda suka
Of course there are several ways.	tentu saja ada beberapa cara
It can only do one sound at a time.	itu hanya bisa melakukan satu suara pada satu waktu
He just needed to see.	dia hanya perlu melihat
You really don't want to do that.	anda benarbenar tidak ingin melakukan itu
No one else, no one else.	tidak ada yang lain tidak ada orang lain
He knows where everything is.	dia tahu di mana semuanya
What's interesting to me is how.	yang menarik bagi saya adalah bagaimana
He has made everything possible.	dia telah membuat semuanya menjadi mungkin
You have no place here.	anda tidak punya tempat di sini
You have to and you have to do something about it.	anda harus dan anda harus melakukan sesuatu tentang itu
I will stay here for some time.	saya akan tinggal di sini untuk beberapa waktu
This is one way to do it.	ini adalah salah satu cara untuk melakukannya
You don't want me to work nights.	anda tidak ingin saya bekerja malam
I probably knew it wouldn't work.	saya mungkin tahu itu tidak akan berhasil
I may not be able to help myself.	saya mungkin tidak dapat membantu diri saya sendiri
That's what he's doing now.	itu yang dia lakukan sekarang
He started talking.	dia mulai berbicara
Things don't work out well.	halhal tidak bekerja dengan baik
But very possible.	namun sangat mungkin
It's hardly interesting.	ini hampir tidak menarik
I can't do this now.	saya tidak bisa melakukan ini sekarang
It's not the same problem here.	itu bukan masalah yang sama di sini
They were all asleep by then.	mereka semua sudah tidur saat itu
He succeeded in both.	dia berhasil di keduanya
This is something extraordinary for me.	ini adalah sesuatu yang luar biasa bagi saya
But so are many.	tapi begitu juga banyak
You want to do something different.	anda ingin melakukan sesuatu yang berbeda
One cannot have both.	seseorang tidak dapat memiliki keduanya
Stand with it.	berdiri dengan itu
But it will not be done in life.	tapi itu tidak akan dilakukan dalam hidup
He had never seen anything before.	dia belum pernah melihat apa pun sebelumnya
They can do a lot of things.	mereka bisa melakukan banyak hal
The person then went back inside.	orang itu kemudian kembali ke dalam
I've been working alone too much this year.	saya terlalu banyak bekerja sendiri tahun ini
In many ways this is true.	dalam banyak hal ini benar
But that's all there is for now.	tapi itu semua ada untuk saat ini
I would be happy if you could help.	saya akan senang jika anda dapat membantu
Now every day.	sekarang setiap hari
But you can do something.	tapi anda bisa melakukan sesuatu
This can happen in two different ways.	hal ini dapat terjadi dalam dua cara yang berbeda
I wish it would stop.	saya berharap itu akan berhenti
Taste is the same.	rasa adalah sama
But it never came again.	tapi itu tidak pernah datang lagi
But with me it's very different.	tapi dengan saya itu sangat berbeda
He always has an excuse.	dia selalu punya alasan
Like they did a few years ago.	seperti yang mereka lakukan beberapa tahun lalu
It's hard for everyone.	itu sulit bagi semua orang
It's very unpleasant to work this way.	sangat tidak menyenangkan bekerja dengan cara ini
It becomes something.	itu menjadi sesuatu
Something made him want to look good.	sesuatu membuatnya ingin terlihat baik
No one has ever lived anywhere.	tidak ada yang pernah tinggal di mana pun
This one is simple.	yang satu ini sederhana
This is very important now.	ini sangat penting sekarang
Then they came out the door.	kemudian mereka keluar dari pintu
This is easy.	ini mudah
We don't know what happened to them.	kita tidak tahu apa yang terjadi pada mereka
When he sleeps, he can't sleep.	ketika dia tidur dia tidak bisa tidur
But there's a problem there too.	tapi ada masalah di sana juga
You own the world, and there is this other world.	anda memiliki dunia dan ada dunia lain ini
I didn't see or speak to anyone.	saya tidak melihat atau berbicara dengan siapa pun
We need to help them.	kita perlu membantu mereka
Out in the world.	keluar di dunia
It's too big for them.	itu terlalu besar untuk mereka
That would probably be a lot.	itu mungkin akan banyak
Not really speaking.	tidak benarbenar berbicara
He's been gone too long.	dia sudah pergi terlalu lama
It has.	itu punya
It's all the more true here.	itu semua lebih benar di sini
At least that's what happened today.	setidaknya itulah yang terjadi hari ini
This is all you do.	ini semua yang anda lakukan
He's probably been there the whole time.	dia mungkin sudah ada di sana sepanjang waktu
Obviously, he knew nothing about this.	jelas dia tidak tahu apaapa tentang ini
The people were afraid of them.	orangorang itu takut pada mereka
It's because we know we're going to eat again.	itu karena kita tahu kita akan makan lagi
And they just want, you know, to do that.	dan mereka hanya ingin anda tahu melakukan itu
So is this.	begitu juga ini
We are not family.	kami bukan keluarga
He came to help them.	dia datang untuk membantu mereka
And you will know.	dan anda akan tahu
But that makes everyone equal.	tapi itu membuat semua orang sama
It actually looks pretty easy.	ini benarbenar tampak cukup mudah
It's just there.	itu hanya ada di sana
I can't walk anymore.	aku tidak bisa berjalan lagi
At least for some of us.	setidaknya bagi sebagian dari kita
That's what they've been doing for a long time.	itu yang sudah lama mereka lakukan
I barely.	aku hampir tidak
This is going very well.	ini berjalan sangat baik
I'm not sure what else to do there.	saya tidak yakin apa lagi yang bisa dilakukan di sana
And that might be good.	dan itu mungkin bagus
That gives a lot of time.	itu memberi banyak waktu
The second one is also good.	yang kedua juga bagus
We have done our best.	kami telah melakukan yang terbaik
But they don't have to go alone.	tapi keduanya tidak harus pergi sendiri
We must have been gone a long time.	kita harus sudah lama pergi
You made my day.	anda membuat hari saya
You're not even that much older than me.	anda bahkan tidak jauh lebih tua dari saya
you of all people.	anda dari semua orang
He had to say no.	dia harus mengatakan tidak
I'm sure it is now.	aku yakin itu sekarang
The world has changed.	dunia telah berubah
But it's not just work that matters.	tapi bukan hanya pekerjaan yang penting
He can turn into anything.	dia bisa berubah menjadi apa saja
Helpful and very nice.	membantu dan sangat bagus
I've never seen it the same way twice.	aku belum pernah melihatnya dengan cara yang sama dua kali
But it always is.	tapi selalu begitu
Seems like very few people get it right.	sepertinya hanya sedikit orang yang bisa melakukannya dengan benar
We found whatever was really right.	kami menemukan apa pun yang benarbenar tepat
We all stand together.	kita semua berdiri bersama
Other people feel different.	orang lain merasa berbeda
It didn't make him feel good.	itu tidak membuatnya merasa baik
However, it's actually like that.	namun sebenarnya seperti itu
Then the woman came to the door of the house.	kemudian wanita datang ke pintu rumah
I'll just do it and see what happens.	saya hanya akan melakukannya dan melihat apa yang terjadi
There must be something up there.	pasti ada sesuatu di atas sana
They will live together.	mereka akan hidup bersama
Maybe most shouldn't.	mungkin sebagian besar tidak seharusnya
The two of them stood talking.	keduanya berdiri berbicara
But not just one.	tapi tidak hanya satu
You always work very hard.	anda selalu bekerja sangat keras
It's about them together.	itu tentang mereka bersama
This is an important question.	ini adalah pertanyaan penting
The second is more difficult.	yang kedua lebih sulit
Some have seen it sooner and some later.	beberapa telah melihatnya lebih cepat dan beberapa kemudian
I'll go to bed.	aku akan pergi ke tempat tidur
But they couldn't be more different.	namun mereka tidak bisa lebih berbeda
Let other places know what happened.	biarkan tempat lain tahu apa yang terjadi
Neither, nor.	bukan juga atau
This is not a good person.	ini bukan orang baik
They can't do enough for you.	mereka tidak bisa melakukan cukup bagi anda
It would be better to stay a little longer.	akan lebih baik untuk tinggal sedikit lebih lama
Because when you are old, you are not too old.	karena saat anda tua anda tidak terlalu tua
I'm not sure myself.	saya sendiri tidak yakin
In fact almost every day.	bahkan hampir setiap hari
I don't know from top to bottom.	saya tidak tahu dari atas ke bawah
You may not have heard of him.	anda mungkin belum pernah mendengar tentang dia
He must still be close.	dia pasti masih dekat
He stood looking down at her.	dia berdiri melihat ke bawah padanya
Fine, fine, fine.	baik baik baik
I am very happy to be here.	saya sangat senang berada di sini
He told himself it wouldn't come.	dia mengatakan pada dirinya sendiri bahwa itu tidak akan datang
At least he tried.	setidaknya dia sudah mencoba
Don't know how it happened.	tidak tahu bagaimana itu terjadi
Now he's really doing it.	sekarang dia benarbenar melakukannya
Even in .	bahkan di
They almost certainly cooperate with each other.	mereka hampir pasti bekerja sama satu sama lain
They, of course, already knew what we had come for.	mereka tentu saja sudah tahu untuk apa kami datang
He hoped it wasn't old.	dia berharap itu tidak tua
Some people can.	beberapa orang bisa
Life is real.	hidup itu nyata
We all have to be there.	kita semua harus ada di sana
He wants to leave here.	dia ingin pergi dari sini
What should and can should and could mean.	apa yang harus dan bisa harus dan bisa berarti
If not, we will be in trouble.	jika tidak ada kita akan berada dalam masalah
We saw that a lot.	kami banyak melihat itu
He had seen it.	dia telah melihatnya
I think that makes it really easy for me.	saya pikir itu membuatnya sangat mudah bagi saya
In this place they have.	di tempat ini mereka punya
But it is quite clear.	namun hal itu cukup jelas
This is possible, but not possible.	ini mungkin tetapi tidak mungkin
He won't get any better.	dia tidak akan mendapatkan yang lebih baik
He didn't do anything else.	dia tidak melakukan hal lain
We all did the best we could.	kami semua melakukan yang terbaik yang kami bisa
It just won't be like that.	hanya saja tidak akan seperti itu
Just to be different.	hanya untuk menjadi berbeda
That they own us.	bahwa mereka memiliki kita
He's at the door.	dia di pintu
I can still do it now.	aku masih bisa melakukannya sekarang
We just have to get better.	kami hanya harus menjadi lebih baik
And he's definitely not home.	dan dia pasti tidak ada di rumah
That seems to be what's happening now.	sepertinya itu yang terjadi sekarang
That's never true.	itu tidak pernah benar
It's also very simple.	ini juga sangat sederhana
They worked before.	mereka bekerja sebelumnya
No more and no bigger.	tidak lebih dan tidak lebih besar
But he hasn't slept at all.	tapi dia belum tidur sama sekali
So it worked out fine.	jadi itu berhasil dengan baik
But it doesn't work like that.	tapi itu tidak berjalan seperti itu
And for this.	dan untuk ini
I've seen it here before.	aku pernah melihatnya di sini sebelumnya
But we can do more.	tapi kita bisa lebih
Good enough for you?.	cukup baik untuk anda
Look what we've done.	lihat apa yang telah kita lakukan
That's true, but not all of it.	itu benar tapi tidak semuanya
He should have known by now.	seharusnya dia sudah tahu sekarang
He's good enough, without being extraordinary.	dia cukup baik tanpa menjadi luar biasa
It works fine without it.	ini bekerja dengan baik tanpa itu
We already know how to work with them.	kami sudah tahu bagaimana bekerja dengan mereka
But there is a way out.	tapi ada jalan keluar
I don't know where to go.	aku tidak tahu ke mana harus pergi
They are quick and easy.	mereka cepat dan mudah
They were never close.	mereka tidak pernah dekat
And no one is talking about the boy.	dan tidak ada yang berbicara tentang anak itu
It seems to go on and on.	tampaknya terus dan terus
If not, you are wrong.	jika tidak anda salah
The right thing to do was obvious.	hal yang benar untuk dilakukan sudah jelas
To see it at least.	untuk melihatnya setidaknya
And now they are dead.	dan sekarang mereka sudah mati
I'm doing well.	aku melakukan dengan baik
However, nothing has changed.	namun tidak ada yang berubah
I'm being real now.	aku menjadi nyata sekarang
That's not our way.	itu bukan cara kami
It's pretty quick and easy to do.	itu cukup cepat dan mudah dilakukan
We only have a little money.	kami hanya punya sedikit uang
He has a job.	dia punya pekerjaan
You people are impossible.	anda orang tidak mungkin
He definitely wanted to.	dia pasti ingin
But it's good where we are.	tapi ini baik di mana kita berada
I will never see this one coming.	saya tidak akan pernah melihat yang satu ini datang
This is his way of saying them.	ini adalah cara dia mengatakan mereka
In this life, there is nothing.	dalam hidup ini tidak ada apaapa
And so do you, come to it.	dan begitu juga anda datang ke itu
You are not currently doing that.	anda saat ini tidak melakukan itu
This may change for several times.	ini dapat berubah untuk beberapa kali
Something important just happened.	sesuatu yang penting baru saja terjadi
But we can do much better.	tapi kita bisa melakukan jauh lebih baik
Money won't help.	uang tidak akan membantu
You don't get any problem from us.	anda tidak mendapatkan masalah dari kami
Let him go and .	biarkan dia pergi dan
Yes, but that's okay.	ya tapi tidak apaapa
I will continue this.	aku akan terus ini
Obviously, something had happened.	jelas sesuatu telah terjadi
That's good for me.	itu bagus untuk saya
He can stay with us tonight.	dia bisa tinggal bersama kita malam ini
I'm happy to pick it all up after that.	saya senang untuk mengambil semuanya setelah itu
For one thing he tried.	untuk satu hal dia mencoba
You have to believe it's true.	anda harus percaya itu benar
I have for some time.	saya memiliki untuk beberapa waktu
Or from you.	atau dari anda
For now, that's unlikely to change.	untuk saat ini itu tidak mungkin berubah
I'm not saying it will be the same for you.	saya tidak mengatakan itu akan sama untuk anda
You will be able to talk to anyone.	anda akan dapat berbicara dengan siapa pun
I live this.	saya hidup ini
It got me going.	itu membuat saya pergi
She wasn't an ordinary woman for sure.	dia bukan wanita biasa yang pasti
I don't want that to change.	saya tidak ingin itu berubah
They really want to have children.	mereka sangat ingin punya anak
Now there is a new problem.	sekarang ada masalah baru
We made this just right.	kami membuat ini tepat
The first thing is to find out where he is.	hal pertama adalah menemukan di mana dia berada
We are in the same place.	kami berada di tempat yang sama
Eat and sleep.	makan dan tidur
You can never tell the truth.	anda tidak pernah bisa mengatakan yang sebenarnya
Yes, that won't happen.	ya itu tidak akan terjadi
I second it.	saya kedua itu
You know, we're all going to die.	anda tahu kita semua akan mati
Amazing, great sound.	luar biasa suara yang luar biasa
But not enough.	tapi tidak cukup
I do not see.	saya tidak melihat
They are the same way.	mereka adalah cara yang sama
I'm no different.	aku tidak berbeda
Do it again, same.	lakukan lagi sama
Today everything happens because of money.	hari ini semuanya terjadi karena uang
After a while he came.	setelah beberapa saat dia datang
I can't seem to find this anywhere.	sepertinya saya tidak dapat menemukan ini di mana pun
We all need people.	kita semua membutuhkan orang
But he can't make me.	tapi dia tidak bisa membuatku
I know the people for whom this is easy.	saya tahu orangorang untuk siapa ini mudah
He couldn't see anything different.	dia tidak bisa melihat apa pun yang berbeda
I now have a few more.	saya sekarang memiliki beberapa lagi
That one hurts.	yang itu sakit
Until we can do it.	sampai kita bisa melakukannya
They will help in many small things.	mereka akan membantu dalam banyak hal kecil
This is the same anywhere in the world.	ini adalah sama di mana saja di dunia
He left and soon came back with another man.	dia pergi dan segera kembali dengan pria lain
I was outside.	aku berada di luar
But you know all that.	tapi kamu tahu semua itu
It just looks like one.	itu hanya terlihat seperti satu
We know who you are.	kami tahu siapa anda
We believed it was necessary at the time.	kami percaya itu perlu pada saat itu
He never looks the same.	dia tidak pernah terlihat sama
They saw a few more.	mereka melihat beberapa lagi
But now.	tapi sekarang
It's not much, but it's enough.	itu tidak banyak tapi itu sudah cukup
But we don't stand alone.	tapi kami tidak berdiri sendiri
Don't think that it worked out well in the end.	jangan berpikir bahwa akhirnya berhasil dengan baik
But for him.	tapi untuk dia
They don't like each other.	mereka tidak menyukai satu sama lain
Almost every night like this.	hampir setiap malam seperti ini
They're not bad.	mereka tidak buruk
It was the year.	saat itu tahun
Nobody can do this for us.	tidak ada yang bisa melakukan ini untuk kita
You see nothing happens.	anda melihat tidak ada yang terjadi
And this is coming from me.	dan ini datang dari saya
You and I have dinner again.	anda dan saya makan malam lagi
It's not all about money.	ini tidak semua tentang uang
I made it look easy.	saya membuatnya terlihat mudah
Actually, not old at all.	sebenarnya tidak tua sama sekali
Of course, you still lose money.	tentu saja anda masih kehilangan uang
They are eager to help.	mereka sangat ingin membantu
It was never their way, of course.	itu tidak pernah menjadi cara mereka tentu saja
I can't see very clearly.	aku tidak bisa melihat dengan sangat jelas
He had to do something about them.	dia harus melakukan sesuatu pada mereka
They didn't come here.	mereka tidak datang ke sini
But others clearly don't.	tapi yang lain jelas tidak
At the same time, you will also feel better.	pada saat yang sama anda juga akan merasa lebih baik
It's out of the world.	itu di luar dunia
They didn't tell anyone.	mereka tidak memberi tahu siapa pun
I try not to come here.	saya mencoba untuk tidak datang ke sini
But with most of these, questions remain.	tetapi dengan sebagian besar dari ini pertanyaan tetap ada
But you never told me how you did it.	tapi anda tidak pernah memberi tahu saya bagaimana anda melakukannya
Says it all really.	mengatakan itu semua benarbenar
But that's not wrong either.	tapi itu juga tidak salah
It was really a fun night.	itu benarbenar malam yang menyenangkan
He did it without really thinking.	dia melakukannya tanpa benarbenar berpikir
Many people know this.	banyak orang tahu ini
That's good for me too.	itu bagus untuk saya juga
We are in a different place.	kami berada di tempat yang berbeda
They want to be.	mereka ingin menjadi
We are a very close family.	kami adalah keluarga yang sangat dekat
We take this issue below.	kami mengambil masalah ini di bawah ini
He's on top.	dia berada di atas
This world, our world.	dunia ini dunia kita
Not with my son.	tidak dengan anak saya
And each of my parents has their own parents.	dan setiap orang tua saya memiliki orang tua sendiri
We should have known better.	kita seharusnya tahu lebih baik
He hadn't found this part yet.	dia belum menemukan bagian ini
That's one way.	itu salah satu cara
Not even close, at all.	bahkan tidak dekat sama sekali
It's hard to walk together.	sulit untuk berjalan bersama
Any time now.	setiap saat sekarang
They never came.	mereka tidak pernah datang
He wished there wasn't.	dia berharap tidak ada
They would never do such a thing.	mereka tidak akan pernah melakukan hal seperti itu
He won't do anything.	dia tidak akan melakukan apaapa
Nothing will come out.	tidak ada yang akan keluar
Which we will share.	yang akan kami bagi
That was all they could do for now.	hanya itu yang bisa mereka lakukan saat ini
But we have a lot of work to do.	tapi kita punya banyak pekerjaan yang harus dilakukan
He had done enough for quite a number of people now.	dia sudah melakukan cukup untuk cukup banyak orang sekarang
He likes it like that.	dia suka seperti itu
But clearly, something was going on.	tapi jelas ada sesuatu yang terjadi
And one thing was completely different about him now.	dan satu hal yang sama sekali berbeda tentang dirinya sekarang
But it's bound to happen.	tapi itu pasti terjadi
Below are just a few.	di bawah ini hanya beberapa
Not sure about the others.	tidak yakin tentang yang lain
One or two do this.	satu atau dua melakukan ini
It's just a different way of thinking.	ini hanya cara berpikir yang berbeda
She is different from other women.	dia berbeda dari wanita lain
But it's all true.	tapi itu semua benar
This was last year.	ini tahun lalu
There's not much we can do.	tidak banyak yang bisa kami lakukan
It's been too much today.	sudah terlalu banyak hari ini
Live in the moment.	hidup di saat ini
That's not a bad job.	itu bukan pekerjaan yang buruk
This is actually.	ini sebenarnya
And now it's happening again.	dan sekarang hal itu terjadi lagi
Too big to be a child.	terlalu besar untuk menjadi anak kecil
It will be very fast.	ini akan sangat cepat
I didn't really do that.	saya tidak benarbenar melakukan itu
That's next year.	itu tahun depan
One can say both on the same day.	seseorang dapat mengatakan keduanya pada hari yang sama
These are things that can be difficult to do.	ini adalah halhal yang mungkin sulit dilakukan
And you might too.	dan anda mungkin juga
He wasn't very helpful.	dia tidak terlalu membantu
I'm not for them either.	saya juga tidak bagi mereka
We don't need more.	kami tidak membutuhkan lebih banyak
He should be dead.	dia seharusnya sudah mati
Now, for the good stuff.	sekarang untuk halhal yang baik
Things change so fast some times.	halhal berubah begitu cepat beberapa kali
Men love to talk about themselves.	pria suka berbicara tentang diri mereka sendiri
He is to help you.	dia adalah untuk membantu anda
Until then, much remains to be done.	sampai saat itu masih banyak yang harus dilakukan
We can't say it any other way.	kami tidak bisa mengatakan dengan cara lain
I'm thinking hard about all of this.	aku sedang berpikir keras tentang semua ini
Maybe you should walk.	mungkin anda harus berjalan
They really helped us.	mereka sangat membantu kami
Stay inside, don't make yourself obvious on the street.	tetap di dalam jangan membuat diri anda terlihat jelas di jalan
One night is enough.	satu malam sudah cukup
So, that's very good.	jadi itu sangat bagus
That is something very different.	itu adalah sesuatu yang sangat berbeda
We are not far from that place.	kami tidak jauh dari tempat itu
In fact, he is.	bahkan dia
Again, this may or may not be true.	sekali lagi ini mungkin benar atau tidak
I saw him at the hospital.	aku melihatnya di rumah sakit
He had done something to them.	dia telah melakukan sesuatu pada mereka
And it hardly gets any better than that.	dan hampir tidak ada yang lebih baik dari itu
I hope it's big.	saya berharap ini menjadi besar
Looks like it will be easy.	sepertinya itu akan mudah
That's important when you've been working all day.	itu penting ketika anda telah bekerja sepanjang hari
However, it also means we have to create one.	namun itu juga berarti kita harus membuatnya
Or he might come here.	atau dia mungkin akan datang ke sini
I am a family man.	saya seorang pria keluarga
And love the place.	dan menyukai tempat itu
He wasn't an ordinary person either.	dia juga bukan orang biasa
They don't work at all.	mereka tidak bekerja sama sekali
I should have seen this coming.	aku seharusnya melihat ini datang
This is extraordinary.	ini sangat luar biasa
It will be much worse.	ini akan menjadi jauh lebih buruk
I couldn't be more pleased.	aku tidak bisa lebih senang
They are afraid of this place.	mereka takut dengan tempat ini
It's all that, and something else.	ini semua itu dan sesuatu yang lain
You know some of them.	anda tahu beberapa dari mereka
I should be happy to see them.	seharusnya aku senang melihat mereka
These are not good things.	ini bukan halhal yang baik
He had scared her.	dia telah membuatnya takut
But, you have to stay.	tapi kamu harus tinggal
They can be very difficult.	mereka bisa sangat sulit
It may be strong.	ini mungkin kuat
But that's not the important part.	tapi itu bukan bagian yang penting
Not one of the walking dead, or whatever he was.	bukan salah satu dari orang mati berjalan atau apa pun dia
The latter is very important.	sangat penting yang terakhir
I've never seen anything like them.	saya belum pernah melihat yang seperti mereka
Actually, neither do we.	sebenarnya kami juga tidak
And finally, we are here.	dan akhirnya kita di sini
But there, everyone looks like me.	tapi di sana semua orang terlihat seperti saya
But my son also likes it.	tapi anak saya juga suka
But it will be very easy.	namun itu akan sangat mudah
You're making it harder than it should be.	anda membuatnya lebih sulit dari yang seharusnya
I think that you.	saya berpikir bahwa anda
This is the best time of the year.	ini adalah waktu terbaik tahun ini
People change.	orangorang berubah
Of course you can come.	tentu saja anda bisa datang
This is very, very helpful.	hal ini sangat sangat membantu
But there are far more that don't.	tapi ada jauh lebih banyak yang tidak
Nobody really does it the same way.	tidak ada yang benarbenar melakukannya dengan cara yang sama
Nobody enjoys doing it.	tidak ada orang yang senang melakukannya
I have to find that person.	aku harus menemukan orang itu
I'd love it if you made it longer'.	saya akan senang jika anda membuatnya lebih lama
He is very good with women.	dia sangat baik dengan wanita
That love too.	cinta itu juga
But that's only one reason.	tapi itu hanya satu alasan
Not better or worse.	tidak lebih baik atau lebih buruk
And yes, that's me.	dan ya itu aku
I think he knows what to do.	saya pikir dia tahu apa yang harus dilakukan
This might change.	ini mungkin berubah
We know that it is not.	kita tahu bahwa tidak
Should be here today.	seharusnya di sini hari ini
We never pulled the vote down on them.	kami tidak pernah menarik suara ke bawah pada mereka
Too much happened too fast.	terlalu banyak yang terjadi terlalu cepat
They really are extraordinary.	mereka benarbenar sangat luar biasa
Never lose a very close person.	tidak pernah kehilangan orang yang sangat dekat
Most are good, some are good.	sebagian besar bagus beberapa bagus
And he won't come back.	dan dia tidak akan kembali
So close, yet not quite there.	begitu dekat namun tidak cukup sampai di sana
He will not be with them.	dia tidak akan bersama mereka
He hoped that no one else had heard of this.	dia berharap tidak ada orang lain yang mendengar tentang ini
I like those people.	saya suka orangorang itu
There's a lot going on.	ada banyak hal yang terjadi
He wasn't sure how they did it.	dia tidak yakin bagaimana mereka melakukannya
Someone had to do it and there it was.	seseorang harus melakukannya dan itu dia
We did not have.	kami tidak punya
He would see them again.	dia akan melihat mereka lagi
Nothing worked for me.	tidak ada yang bekerja untuk saya
Only for .	hanya untuk
I don't need to hear all that.	saya tidak perlu mendengar semua itu
That's an easy problem.	itu adalah masalah yang mudah
We will get them.	kami akan mendapatkan mereka
She's sick, but a good woman.	dia sakit tapi wanita yang baik
We get them all the time.	kami mendapatkan mereka sepanjang waktu
But they all said different things.	tapi mereka semua mengatakan hal yang berbeda
It is a time to just be with family.	itu adalah waktu untuk hanya bersama keluarga
However, that is not always the case.	namun itu tidak selalu terjadi
Or at least that's what people want to believe.	atau setidaknya itulah yang orang ingin percaya
It was clear that they were afraid.	jelas bahwa mereka takut
This cannot be an easy job.	ini tidak bisa menjadi pekerjaan yang mudah
I think they should, however.	saya pikir mereka harus namun
You will feel different about yourself.	anda akan merasa berbeda tentang diri anda
However, nothing important.	namun tidak ada yang penting
These people will never stop.	orangorang ini tidak akan pernah berhenti
He worked hard and kept doing it.	dia bekerja keras dan terus melakukannya
But he knew it wouldn't be enough.	tapi dia tahu itu tidak akan cukup
I didn't return home.	aku tidak kembali ke rumah
I always believed in it, even then.	aku selalu yakin akan hal itu bahkan saat itu
We live together and we die together.	kita hidup bersama dan kita mati bersama
I'm good at this.	aku baik dalam hal ini
Maybe you will find someone stronger.	mungkin anda akan menemukan seseorang yang lebih kuat
I like that too.	saya suka itu juga
Even if it is a man.	bahkan jika itu adalah seorang pria
He's almost a man.	dia hampir seorang pria
But he's not the same person anymore.	tapi dia bukan orang yang sama lagi
Of course hope there is a way out.	tentu berharap ada jalan keluar
It works the other way too.	itu bekerja dengan cara lain juga
But they can't have both.	tapi mereka tidak bisa memiliki keduanya
This may happen for several reasons.	hal ini mungkin terjadi karena beberapa alasan
Today is another.	hari ini adalah yang lain
When I try to help the family.	saat saya mencoba membantu keluarga
They are part of our world.	mereka adalah bagian dari dunia kita
Just not as we know it.	hanya tidak seperti yang kita tahu
You will come and live with me.	anda akan datang dan tinggal bersama saya
All he had to do was find the place.	yang harus dia lakukan adalah menemukan tempat itu
Don't want him to know.	tidak ingin dia tahu
Live, of course.	hidup tentu saja
But that doesn't always mean that.	tapi itu tidak selalu berarti itu
And you did it for all of us.	dan anda melakukannya untuk kita semua
Otherwise, you'll never know.	jika tidak anda tidak akan pernah tahu
We'll see it go by itself.	kami akan melihatnya pergi sendiri
It will do just that.	itu akan melakukan hal itu
This is very unusual out there.	ini sangat tidak biasa di luar sana
I think it's really strong.	saya pikir itu benarbenar kuat
Finally, he had done this.	akhirnya dia telah melakukan ini
One on one day, another on another.	satu di satu hari yang lain di hari lain
But if that's not for you, fear not.	tetapi jika itu bukan untuk anda jangan takut
It's there to help.	itu ada untuk membantu
It works when you're just being yourself.	ini bekerja ketika anda hanya menjadi diri sendiri
So are a few others.	begitu juga beberapa yang lain
So, not anymore.	jadi sekarang tidak lagi
That's so in this case.	itu begitu dalam kasus ini
That, of course, won't be the last.	itu tentu saja bukan yang terakhir
But you don't really know for sure.	tapi anda tidak benarbenar tahu pasti
We have to get closer to them.	kita harus lebih dekat dengan mereka
It will be like before.	itu akan seperti sebelumnya
Or maybe this bed.	atau mungkin tempat tidur ini
Looks like he's not there.	sepertinya dia tidak ada
They definitely didn't come any closer.	mereka pasti tidak datang lebih dekat
Until you say it's okay.	sampai anda mengatakan tidak apaapa
You can come too, if you like.	anda bisa datang juga jika anda suka
I think that's more than enough time.	saya pikir itu lebih dari cukup waktu
More than twice.	lebih dari dua kali
I saw it coming soon.	saya melihatnya datang segera
We are your people and have no other place to live.	kami adalah orangorang anda dan tidak memiliki tempat tinggal lain
Then go back inside.	kemudian kembali ke dalam
This should help you.	ini harus membantu anda
