There and then.	teo ary avy eo
This is so beautiful.	tena tsara tarehy ity
To me, that makes sense.	amiko dia misy dikany izany
I really exist now.	tena misy aho izao
This is very quick and easy to do.	tena haingana sy mora atao izany
And easier.	ary mora kokoa
You know the story well.	fantatrao tsara ny tantara
When you are wrong in any way.	rehefa diso ianao aminny fomba rehetra
A new kind of war.	karazana ady vaovao
Some are very special.	ny sasany dia tena manokana
This is not a good day.	tsy andro tsara izao
Of course, you are still losing money.	mazava ho azy fa mbola very vola ianao
It’s hard to do things sometimes.	sarotra ny manao zavatra indraindray
But that is not the case.	tsy izay anefa no tena zavamisy
I should have thought.	tokony ho nieritreritra aho
The result is minimal.	ny vokatra dia kely indrindra
They are beautiful people.	olona tsara tarehy izy ireo
While this is safe, it can be very difficult.	na dia azo antoka aza izany dia mety ho sarotra be izany
I am no different.	tsy hafa aho
Did it again, too.	nanao izany indray toy izany koa
You will love more.	ho tia kokoa ianao
We were in the same place.	teo aminny toerana iray ihany izahay
Everything else is unnecessary.	ny hafa rehetra dia tsy ilaina
He himself has to do it.	izy mihitsy no tsy maintsy manao izany
Not another word from me.	tsy teny hafa avy amiko
Some go without looking.	ny sasany mandeha tsy mijery
The process is the same, the results are different.	mitovy ny dingana samy hafa ny vokatra
Maybe in a small way.	angamba aminny resaka kely
All of this was meaningless.	tsy nisy dikany izany rehetra izany
I look at him but he no longer sees me.	mijery azy aho fa tsy mahita ahy intsony izy
None of the dead are walking, no matter what.	tsy misy na iray aza aminireo maty mandeha na inona na inona izy
This is the general method.	izany no fomba ankapobeny
The latter is very important.	tena zavadehibe ny farany
I have never seen anything like them.	mbola tsy nahita toa azy ireo aho
He who does his best does his best work.	izay manao ny tsara indrindra dia manao ny asa tsara indrindra
In fact, neither are we.	raha ny marina tsy izahay koa
And finally, here we are.	ary farany eto isika
But there, everyone seems to me.	fa any toa ahy daholo ny olona rehetra
First, it’s not just a money issue.	voalohany tsy olana aminny vola fotsiny izany
So maybe we are the only ones needed.	ka angamba isika ihany no ilaina
But we can do better.	saingy afaka manao zavatra tsara kokoa isika
No one is superior.	tsy misy olona ambony
Don’t do that, especially if you’re just starting out.	aza manao izany indrindra fa vao manomboka ianao
It is far from you.	lavitra anao izany
All that, and something else.	izany rehetra izany ary zavatra hafa
But they are generally very close.	tena akaiky anefa izy ireo aminny ankapobeny
However, we are not going that route here.	na izany aza tsy mandeha io lalana io eto izahay
You know some of them.	fantatrao ny sasany aminizy ireo
Yes, they are gone.	eny lasa izy ireo
We all need people.	mila olona isika rehetra
And often.	ary matetika
When it comes to the end, start all over again.	rehefa tonga aminny farany dia manomboka indray
But he can't do me.	saingy tsy afaka manao ahy izy
They are great people who do great events as well.	izy ireo dia olona lehibe izay manao hetsika lehibe ihany koa
I also met many other people.	nahita olona maro hafa koa aho
Someone my age.	olona mitovy taona amiko
It will only appear there once.	indray mandeha ihany no ho hita eo
In fact, that is not at all the case.	raha ny marina tsy izany mihitsy no zavamisy
Great place for photos.	toerana mahafinaritra ho anny sary
But it’s not so clear.	saingy tsy dia mazava loatra
He did, but it wasn’t there.	nanao izany izy saingy tsy teo ihany
I have to do what he wants.	tsy maintsy manao izay tiany aho
We were both very happy with the final result.	faly be izahay roa taminny vokatra farany
The information should be easily accessible.	ny vaovao dia tokony ho mora azo
But they are not enough.	tsy ampy anefa izy ireo
Whatever day it is.	na inona na inona andro izao
It’s really bad though.	tena ratsy izany na izany aza
They get everything.	mahazo ny zavadrehetra izy ireo
But we have not lost anything.	tsy misy very na inona na inona anefa izahay
And they just want to do it, you know.	ary te hanao izany fotsiny izy ireo fantatrao
And you will know.	ary ho fantatrao
Good as the picture.	tsara toy ny sary
In this earth.	aminity tany ity
But only the game.	fa ny lalao ihany
Or he might come here.	na mety ho tonga eto izy
In my opinion, not much different.	raha ny hevitra tsy dia hafa loatra
We have two main products.	manana vokatra roa lehibe isika
Yours too.	ny anao koa
Only occasionally.	indraindray ihany
This is a very important job.	asa tena ilaina izany
Too much on men.	be loatra eny lehilahy
Then the real journey begins.	dia manomboka ny tena dia
I need you.	mila anao aho
Not just in the future but now.	tsy aminny fotoana ho avy ihany fa aminizao fotoana izao
I have a little time.	manana fotoana kely aho
So they are safer.	noho izany dia azo antoka kokoa izy ireo
However, it is very much so.	na izany aza dia tena toy izany
Great thing, he said.	zavatra lehibe hoy izy
But both have to go it alone.	fa samy tsy maintsy mandeha irery
I was just not there.	tsy teo fotsiny aho
Either way, this is enough.	na izany na tsy izany dia ampy izao
No one can do that for us.	tsy misy afaka manao izany ho antsika
And it’s from me.	ary avy amiko izany
He will never make history.	tsy hanao tantara mihitsy izy
We have them all the time.	manana azy ireo isika aminny fotoana rehetra
Great is great, no matter what.	lehibe dia lehibe na inona na inona
There were almost no other houses in the area.	saika tsy nisy trano hafa teny aminny manodidina
I hope this one is great.	manantena aho fa lehibe ity iray ity
We were adults, once.	olona lehibe izahay indray mandeha
Maybe he did.	angamba izy no nanao izany
It seems to be easy.	toa ho mora izany
He shouldn’t love her.	tsy tokony ho tia azy izy
But we can be more.	mety ho bebe kokoa anefa isika
Enough for you ?.	ampy ho anao
This is one of many reasons.	antony iray aminny maro izany
Even if you don’t know it yet.	na dia mbola tsy fantatrao aza izany
The bad here, however, is really bad.	ny ratsy eto anefa dia tena ratsy
It would have been as if it had never happened.	ho toy ny tsy nisy mihitsy izany fotoana izany
These are fun, simple and straightforward.	ireo dia mahafinaritra tsotra ary tsotra
This is true, but not all.	marina izany fa tsy ny rehetra
He should know now.	tokony ho fantany izao
But, so we have another battle.	saingy noho izany dia mbola misy ady hafa indray isika
Sometimes not.	indraindray tsy misy
But three years later, there was a problem.	saingy rehefa afaka telo taona dia nisy olana
But this is not wrong either.	tsy diso koa anefa izany
But this is old news.	vaovao taloha anefa ity
He did so without even thinking.	nanao izany tsy nieritreritra akory izy
Really hard work.	tena miasa mafy
He had a job.	nanana asa izy
People can’t.	tsy azo atao ny olona
I never thought of anything like that.	tsy nieritreritra zavatra toy izany mihitsy aho
You don’t do that right now.	tsy manao izany ianao aminizao fotoana izao
But that may not have been too long.	saingy tsy mety ho efa ela be izany
So that’s about it.	ka izay ny momba azy
She is more than just a beautiful face.	mihoatra lavitra noho ny tarehy tsara tarehy fotsiny izy
There must be a right path.	tsy maintsy misy ny lalana marina
The trip was well worth it.	tena mendrika ilay dia
He is simple.	izy dia tsotra
He saw a lot but not enough.	nahita be dia be izy fa tsy tsy ampy
He is now enough for enough people.	efa ampy ho anny olona ampy izy izao
Nothing remained there.	tsy nisy na inona na inona nijanona teo
It’s more fun to walk.	mahafinaritra kokoa ny mandeha
We were in different places.	tany aminny toerana samy hafa izahay
They want to be.	te ho izy ireo
Because that’s the thing.	satria izay no zavatra
He was on top.	izy no teo ambony
And there is something completely different about him now.	ary misy zavatra hafa tanteraka momba azy ankehitriny
It’s all good stuff.	zavatra tsara daholo
We haven't seen another car in a long time.	efa ela izahay no tsy nahita fiara hafa
There was no time for anything else.	tsy nisy fotoana ho anny zavatra hafa
It doesn’t make much sense to me.	tsy dia misy dikany amiko izany
He didn’t know that part.	tsy fantany io ampahany io
Not even close, absolutely.	tsy akaiky akory tanteraka
Or maybe you are the person.	na angamba ianao no ilay olona
The biggest problem is, of course, money.	ny olana lehibe indrindra dia mazava ho azy ny vola
At all times now.	aminny fotoana rehetra izao
I don’t like him at all.	tsy tiako mihitsy izy
It was like he was going fast no matter what.	toy ny nandeha haingana izy na inona
The choice seems pointless.	toa tsy misy dikany ny safidy
I enjoyed it too.	nahafinaritra ahy koa izany
But you know it all.	fa fantatrao izany rehetra izany
I'm lost in this thing.	very aho aminity zavatra ity
It seems to be the same.	toa iray ihany ilay izy
They looked more.	nijery bebe kokoa izy ireo
I went to him there.	nandeha azy tany aho
They deserve it.	mendrika izy ireo
I could not see clearly.	tsy nahita mazava tsara aho
They don't come here.	tsy tonga eto izy ireo
I enjoy everything in life.	mahafinaritra ahy ny zavadrehetra eo aminny fiainana
It’s an easy job.	asa mora izany
But others are obviously not.	saingy ny hafa dia mazava ho azy fa tsy izany
He does not love us.	tsy tia antsika izy
He looked around as if to see.	nijery manodidina toy ny mahita izy
There is always something about him.	misy foana ny momba azy
However, this is not uncommon.	tsy dia mahazatra anefa izany
But don't go too far.	fa aza mandeha lavitra
But all of this is true.	marina daholo anefa izany
But it is impossible to dislike him.	tsy azo atao anefa ny tsy tia azy
I'm confused about him.	very hevitra momba azy aho
It’s too much now.	efa betsaka loatra izany ankehitriny
I didn't think of anything else.	tsy nieritreritra zavatra hafa
There are a lot of people that are.	be dia be ny olona izay
I see everything.	hitako ny zavadrehetra
He never did.	tsy mba nanao izany mihitsy izy
As to the previous facts,.	momba ny zavamisy teo aloha
He never thought.	tsy nieritreritra mihitsy izy
They never came.	tsy tonga mihitsy izy ireo
You get it fast.	mahazo haingana ianao
You know what’s next.	fantatrao izay manaraka
In the past.	raha ny taloha
Or maybe not.	na mety tsy izany
He will do nothing.	tsy hanao na inona na inona izy
And you enjoyed it.	ary nahafinaritra anao izany
You are not personal.	tsy ianao manokana
The latter was made for me.	ny farany dia natao ho ahy
He would see them again.	ho nahita azy ireo indray izy
Nothing works for me.	tsy misy miasa amiko
It was an easy thing to do.	zavatra mora ilay izy
There was even talk of money.	nisy mihitsy ny resaka vola
Now, this option looks good.	ankehitriny ity safidy ity dia mijery tsara
There is only one thing wrong with him.	iray ihany no tsy mety aminy
But here comes one of them.	saingy tonga eto ny iray aminireo
Probably not many.	tsy maro angamba
One night was enough.	ampy izay ilay alina iray
The cars look new.	toa vaovao ireo fiara
There will be a way.	hisy lalana
My old one.	ny ahy taloha
War is not right, but only for a reason.	tsy mety ny ady fa noho ny antony ihany
They are not and never will be.	tsy izy ireo ary tsy hisy mihitsy
But it is very easy.	tena mora anefa izany
Now, more than ever, he is alone.	ankehitriny mihoatra noho ny taloha dia irery izy
For me, life is not so great.	raha ny amiko tsy dia lehibe loatra ny fiainana
It is completely full.	feno tanteraka izy io
Look around, they say.	jereo ny manodidina hoy izy ireo
But nothing was found there.	tsy nisy zavatra hita anefa tao
Make it harder than it should be.	ataovy sarotra kokoa noho ny tokony ho izy izany
There were events at night.	nisy ny hetsika aminny alina
I should have loved seeing them.	tokony ho tiako ny nahita azy ireo
There were all sorts of facts about it.	tena nisy ny zavamisy rehetra momba izany
These are not good things.	tsy zavatra tsara ireo
It must have been fun.	nahafinaritra angamba ilay izy
They can be very difficult.	mety ho sarotra be izy ireo
No bad words.	tsy misy teny ratsy
This is the best time of the year.	io no fotoana tsara indrindra aminny taona
I think there is a reason for everything in life.	heveriko fa misy antony ny zavadrehetra eo aminny fiainana
Now it is here.	ankehitriny dia eto
Of course you can come.	mazava ho azy fa afaka tonga ianao
But many more do not.	mbola betsaka kokoa anefa no tsy manao izany
I don't see the point.	tsy hitako ny hevitra
We don’t need more.	tsy mila bebe kokoa isika
He must be dead.	tokony ho efa maty izy
Now, for good.	ankehitriny ho anny zavatra tsara
But for now that is all.	fa aminizao fotoana izao dia izay ihany
From all over at once.	avy aminny toerana rehetra indray mandeha
And it really does everything perfectly.	ary tena manao tanteraka ny zavadrehetra
That’s a good idea you know.	hevitra tsara fantatrao izany
But it belongs to women.	fa anny vehivavy izany
I really hope you enjoyed it.	tena manantena aho fa nahafinaritra anao izany
But that seems important.	toa zavadehibe anefa izany
But that is a misconception.	saingy diso hevitra izany
Good first step.	dingana voalohany tsara
Then, you don’t have to look at them.	avy eo tsy mila mijery azy ireo ianao
But he could say it would not be enough.	saingy afaka nilaza izy fa tsy ho ampy izany
Had little trouble.	tsy nanana olana kely
He didn’t want to know.	tsy tiany ho fantany
Otherwise, you will never know.	raha tsy izany dia tsy ho fantatrao mihitsy
Same goes for the better.	mitovy ary ny mety ho tsara kokoa aminizany
The house is definitely the best place.	azo antoka fa ny trano no toerana tsara indrindra
Very hard working.	tena natao mafy
This is very unusual there.	tena tsy mahazatra izany any
Everything else is fine.	tsara daholo ny zavatra hafa rehetra
You are wrong for others.	diso hevitra ho anny hafa ianao
Finally he did.	farany dia nanao izany izy
But he came to the right place.	saingy tonga teo aminny toerana mety izy
It’s fun at times.	mahafinaritra indraindray
One on one day, another on another day.	iray aminny andro iray iray hafa aminny andro hafa
They seem too good to be true.	toa tsara loatra izy ireo raha ny marina
He had a small part, but stayed with you.	nanana ampahany kely izy saingy nijanona teo aminao
He has a fun process.	manana dingana mahafinaritra izy
You were there when they were seen again.	tany ianao rehefa hita indray izy ireo
This may not be an easy task.	tsy mety ho asa mora izany
I think they should, though.	heveriko fa tokony ho izy ireo anefa
It’s just a fun story.	tantara mahafinaritra fotsiny ilay izy
However, it didn’t make sense.	na izany aza tsy nisy dikany izany
You are crazy.	adala ianao
But I got into trouble.	tonga aminny olana anefa aho
You can come too, if you like.	afaka tonga koa ianao raha tianao
It seems more common.	toa mahazatra kokoa izany
There was really no question.	tena tsy nisy fanontaniana
But now he is alone.	irery anefa izy izao
He is alone in the world.	irery izy eto aminizao tontolo izao
But he is no longer.	saingy tsy izy intsony
At all times, really.	aminny fotoana rehetra tena
And everything should be fine.	ary tokony ho tsara ny zavadrehetra
You know what that thing is.	fantatrao hoe inona izany zavatra izany
If that makes sense to you.	raha misy dikany aminao izany
But once he arrived, it was something else.	raha vao tonga anefa izy dia zavatra hafa ilay izy
But they both couldn’t have it.	saingy tsy afaka nanana izy roa
But you don’t really know that very well.	saingy tsy tena fantatrao tsara izany
We need to get closer to them.	mila akaiky kokoa azy ireo isika
It will be the same as before.	ho toy ny teo aloha ihany izany
The process takes time, of course.	mila fotoana ny dingana mazava ho azy
It works when you really are.	miasa izy io rehefa tena ianao
Some are similar.	toy izany koa ny sasany
So, now it’s gone.	noho izany izao dia tsy misy intsony
You may be alone, but not alone.	mety ho irery ianao fa tsy irery
And there were times.	ary nisy izany indraindray
Not very happy with that.	tsy dia faly aminizany
Of course, this is not the end.	mazava ho azy fa tsy izany no farany
I can't seem to work properly.	toa tsy afaka miasa tsara aho
You don't need anything.	tsy mila na inona na inona
Not in this world or in the future.	tsy aminizao tontolo izao na aminny ho avy
And it follows.	ary manaraka izany
He immediately looked at me in the picture.	nijery ahy avy hatrany izy taminny sary
It’s very self -assured.	tena azo antoka ny tenany
Don’t expect anything.	aza manantena na inona na inona
But one of them is of course superior.	saingy ny iray aminizy ireo dia mazava ho azy fa ambony
At one time the earth will be completely filled.	aminny fotoana iray dia ho feno tokoa ny tany
And yet, they don’t matter.	ary na izany aza tsy zavadehibe izy ireo
Probably not the best, but still.	angamba tsy ny tsara indrindra fa mbola
Or just one day.	na indray andro ihany
Not very common.	tsy dia mahazatra
There was always war.	nisy ady foana tao
So much for a good job.	be dia be noho ny asa tsara
He didn't see her either.	tsy nahita azy koa izy
Of course, there is none.	mazava ho azy fa tsy misy izany
Yes, if he is right for me.	eny raha izy no mety amiko
I hope no one will ever do that.	manantena aho fa tsy hisy hanao izany mihitsy
If he can see me now.	raha afaka mahita ahy izy izao
He was also confused at first.	very hevitra koa izy taminny voalohany
But both facts seem entirely certain.	saingy ny zavamisy roa dia toa azo antoka tanteraka
I got to the bottom.	tonga any aminny farany ambany aho
Many of them are.	maro aminizy ireo no
He doesn't seem to exist.	toa tsy misy izy
Make them as clear as possible.	ataovy mazava tsara araka izay azo atao izy ireo
It remains to be seen whether you can or not.	mbola ho hita eo na afaka na tsia
i really like it.	tiako be io
This is often very difficult.	matetika izany no tena sarotra
Great car.	fiara be
Even men.	na dia lehilahy aza
The world has an average.	izao tontolo izao dia manana eo ho eo
It’s next year.	aminny taona manaraka izany
They work like this.	miasa toy izao izy ireo
These are things that can be hard to do.	ireo dia zavatra mety ho sarotra atao
Now is a great time for him.	fotoana lehibe ho azy izao
He was a little unhappy at first.	somary tsy faly izy taminny voalohany
And you can too.	ary mety koa ianao
I like cars.	tia fiara aho
What’s so fun about that ?.	inona no mahafinaritra aminizany
I don’t really do that.	tsy tena manao izany aho
Worse than you work.	ratsy noho ny hoe miasa ianao
They are two completely different ideas.	hevitra roa samy hafa tanteraka izy ireo
Because we love him.	satria tia azy izahay
This is a fun easy thing to do.	ity dia zavatra mora atao mahafinaritra
In other words, not too much.	aminny teny hafa tsy dia be loatra
A lot of things are going on.	betsaka ny zavatra mandeha
There had to be someone and it was.	tsy maintsy nisy olona ary izy io
That's right, three.	marina izany telo
Which is really good for me.	izay tena tsara amiko
He once told me that.	nilaza izany tamiko izy indray mandeha
You need to get more.	mila mahazo bebe kokoa ianao
Especially since no one knows.	indrindra fa tsy misy fantany
There was no more money.	tsy nisy vola intsony
There was no end to it.	tsy nisy farany izany
They go straight to the usual endless place.	mandeha avy hatrany any aminny toerana tsy misy farany mahazatra izy ireo
And these are very true.	ary tena marina tokoa ireo
But the reality is very different.	hafa loatra anefa ny zavamisy
I see it coming soon.	hitako fa ho avy tsy ho ela izany
In fact, he has nothing.	raha ny marina dia tsy manana na inona na inona izy
So for us, it’s hard to get.	ka ho antsika dia sarotra ny mahazo azy
But he just stares.	mijery fotsiny anefa izy
But, now, he is gone.	saingy izao dia lasa izy
The money has arrived.	tonga ny vola
So the big problem.	noho izany ny olana lehibe
They are part of me.	ampahany amiko izy ireo
He had every reason.	nanana ny antony rehetra izy
She can't love him for long.	tsy afaka tia azy ela izy
Others don’t go either.	ny hafa dia tsy mandeha koa
As they should be.	araka ny tokony ho izy ireo
But this movement works.	miasa anefa ity hetsika ity
We always get them.	mahazo azy ireo foana izahay
Everything started to go fast.	nanomboka nandeha haingana ny zavadrehetra
He knows the word about it.	fantany ny teny momba izany
There was a small problem.	nisy olana kely iray
Some people may not be free from such work.	mety hisy olona tsy ho afaka aminny asa toy izany
And often, very hard.	ary matetika tena mafy
But there are still questions.	mbola misy fanontaniana anefa
Do it the right way.	ataovy aminny fomba tsara izany
And often it will be a process.	ary matetika dia ho dingana izany
I think it’s getting really hard.	heveriko fa lasa mafy be ilay izy
And not all of them do.	ary tsy izy rehetra no manao izany
He may even be superior to me.	mety ho ambony amiko mihitsy aza izy
But there are a lot of people.	be dia be anefa ny olona
She seemed very happy with herself.	toa faly be taminny tenany izy
You are different from the old people.	tsy mitovy aminny olona taloha ianao
We see something, and we want to do it.	mahita zavatra isika ary te hanao izany
No one did that completely.	tsy nisy olona nanao toy izany tanteraka
No one is happy to do that.	tsy misy olona faly manao izany
He draws.	manao sary izy
I'm glad you do '.	faly aho raha manao izany ianao
He was very good with women.	tena tsara taminny vehivavy izy
He may not do that.	mety tsy hanao izany izy
But there is only one reason.	antony iray ihany anefa izany
It’s always hard work.	asa sarotra foana izany
We may still need it.	mety mbola mila azy isika
This is not a path for people.	tsy lalana ho anny olona ity
But he can do it all.	saingy afaka manao izany rehetra izany izy
The first thing.	ny zavatra voalohany
This is another world.	tontolo hafa izao
That may be true, he said.	mety ho marina izany hoy izy
But of course they can draw too.	saingy mazava ho azy fa afaka manao sary ihany koa izy ireo
There is no place here.	tsy misy toerana eto
Although too often, they don’t.	na dia matetika loatra aza dia tsy manao izany izy ireo
You don’t have to work hard for it.	tsy mila miasa mafy ho azy ianao
For everyone, it is a choice.	ho anny rehetra dia safidy izany
I think everyone did a great job.	heveriko fa nanao asa lehibe ny rehetra
And that’s what he really likes.	ary izany no tena tiany
This one is going to be easy.	ity iray ity dia ho mora
It’s more than that.	mihoatra izany
It’s become really big.	lasa lehibe tokoa izany
You can come when you want.	mety ho tonga ianao rehefa tianao
You may have met someone.	efa mahita olona angamba ianao
He is a big problem.	olana lehibe izy
Some love work, others don’t.	ny sasany tia asa ny hafa tsy dia tia
However, it can be a bit simplistic.	na izany aza mety ho somary tsotra izany
It’s even worse.	ratsy mihitsy aza izany
It’s a very small thing.	zavatra tena kely izany
Maybe they did.	angamba nanao izany izy ireo
Maybe you’re doing a good job but not a good one.	angamba ianao manao asa tsara fa tsy tsara
I know these things.	fantatro ireo zavatra ireo
There are two cars.	misy fiara roa
To me, it’s that simple.	amiko dia tsotra izany
I have never seen them.	mbola tsy nahita azy ireo mihitsy
In other words, nothing.	aminny teny hafa tsy misy na inona na inona
So I did the same.	dia nanao izany koa aho
He is good to me.	tsara amiko izy
But no, you are wrong.	fa tsia diso ianao
No, two out of three.	tsia roa aminny telo
It had to stop.	tsy maintsy nijanona izany
Yes, it is near.	eny fa efa akaiky izany
I don't see him much.	tsy hitako loatra izy
He didn't have a problem with that either.	tsy nanana olana taminizany koa izy
I hope you never get lost.	manantena aho fa tsy ho very mihitsy ianao
They really won’t do anything.	tena tsy hanao na inona na inona izy ireo
I still don't see you.	mbola tsy mahita anao aho
It was meant to have special meaning.	natao ho misy dikany manokana izany
It's a little too close.	somary akaiky loatra izany
And that's how it should be.	ary izany no tokony ho izany
This is very clear to me.	mazava tanteraka izany amiko
It should be the first thing.	tokony ho ny zavatra voalohany
But no, that’s not enough.	saingy tsia tsy ampy izany
But not money.	fa tsy vola
From now on, you know it all.	manomboka aminizao fotoana izao dia fantatrao daholo
We have yes.	manana eny izahay
Same as now.	mitovy aminny ankehitriny
He has to be here, here absolutely.	tsy maintsy eto izy eto tanteraka
It’s always about me.	momba ahy foana izany
He doesn't know why now.	tsy fantany ny antony izao
There is no discussion.	tsy misy resaka
It can still be seen working there today.	hita mbola miasa any izy io ankehitriny
He had to say something, and quickly.	tsy maintsy nilaza zavatra izy ary haingana
That is a fact.	izany dia zavamisy
Or because it’s hard.	na satria sarotra
Both are different.	samy tsy mitovy
But you did nothing wrong.	tsy nanao ratsy anefa ianao
I will be here.	ho eto aho
This can be seen in two ways.	mety ho hita aminny fomba roa izany
But there was action.	nisy hetsika anefa teo
But you really don’t, you know.	fa tena tsy manao izany ianao fantatrao
But in fact, it doesn’t work.	saingy raha ny marina dia tsy mandeha izany
More than enough.	mihoatra noho ny mety
He seemed familiar, as before.	toa mahazatra azy toy ny taloha
It seems like it’s impossible.	toy ny hoe tsy azo atao izany
I just found out.	vao fantatro izany
I had to act fast.	tsy maintsy nanao zavatra haingana aho
It’s easy now.	mora izany ankehitriny
It wasn't much money then.	tsy dia be loatra ny vola taminizany
And the best part.	ary ny tsara indrindra
No, the other one.	tsia ilay iray
And all of these things are absolutely certain.	ary ireo zavatra rehetra ireo dia azo antoka tanteraka
I have gone too far now.	lasa lavitra loatra aho izao
Here, every woman will be different.	eto ny vehivavy tsirairay dia ho samy hafa
He just needs a little more.	mbola mila kely fotsiny izy
She will be happier there, with people like her.	ho faly kokoa izy any miaraka aminny olona toa azy
You need me.	ianao no mila ahy
You have a talkative man.	manana lehilahy be resaka ianao
He didn’t know what exactly it was.	tsy fantany hoe inona marina izany
That alone will be enough.	izany fotsiny dia ho ampy
No, it's gone.	tsia lasa izany
Sometimes it is necessary, but not necessary.	indraindray mila izany fa tsy ilaina
There was good news and good news.	nisy vaovao tsara sy vaovao tsara
He needed a job.	nila asa izy
I could have had more.	mety ho nanana bebe kokoa aho
It’s all you.	ianao daholo izany
That's enough for me.	ampy ho ahy izany
And we can’t have that.	ary tsy afaka manana izany isika
Yes, you like these things.	eny tianao ireo zavatra ireo
Sometimes it is not.	indraindray tsy izany no izy
History is no more.	tsy misy intsony ny tantara
Both were found to be inaccurate.	samy hita fa tsy mety
Things are going to be very bad.	ho ratsy be ny zavatra
I really do, about a lot of things.	tena manao izany aho momba ny zavatra maro
But this is true, albeit in part.	marina anefa izany na dia ampahany ihany aza
It might be a good place to.	mety ho toerana tsara ho anny
You are the same, or different.	mitovy ianao na tsy mitovy
You need everyone.	mila ny tsirairay ianao
And not in a good way.	ary tsy aminny fomba tsara
The old, very old.	ilay taloha tena taloha
He did that sometimes.	nanao izany izy indraindray
This path does not work.	tsy mandeha io lalana io
We need too much.	mila zavatra be loatra isika
But he’s on to one thing.	saingy eo aminny zavatra iray izy
That’s a better word.	teny tsara kokoa izany
It’s a place.	toerana izy io
But you seem confused.	saingy toa very hevitra ianao
As is appropriate for many people.	toy ny mety ho anny olona maro
Works but not perfect.	miasa fa tsy tanteraka
Or sometimes for no reason at all.	na indraindray tsy misy antony mihitsy
He is not dead yet.	mbola tsy maty indray izy
So it might be the best.	noho izany dia mety ho ny tsara indrindra
But it will not happen.	saingy tsy ho tanteraka izany
I found them beautiful.	hitako fa tsara tarehy izy ireo
The results were really nice.	nahafinaritra tokoa ny vokatra
But I think we have time.	heveriko anefa fa manana fotoana isika
No, it's very different.	tsia tena hafa mihitsy ilay izy
But they are completely different.	saingy samy hafa tanteraka izy ireo
But we are close.	fa efa akaiky izahay
Some find it very good there as well.	misy mahita tena tsara any koa
But we were wrong, very wrong.	diso anefa izahay tena diso
He didn't get it either.	tsy nahazo koa izy
Sure, that is.	azo antoka izany hoe
Already doing everything.	efa manao ny zavadrehetra
Everyone has a choice.	samy manana safidy
Sometimes it just doesn’t seem to exist.	indraindray dia toa tsy misy
There you are.	eo no misy anao
It’s all for me.	ho ahy daholo izany
However, the word goes.	na izany aza dia mandeha io teny io
Not when he’s close.	tsy rehefa akaiky izy
But it does make sense.	misy dikany ihany anefa izany
It becomes very difficult.	lasa sarotra be izany
They just work better.	miasa tsara kokoa fotsiny izy ireo
There seems to be a problem before.	toa nisy olana teo aloha
You need to do them all.	mila manao azy rehetra ianao
I knew he wouldn't do it.	fantatro fa tsy hanao izany izy
They are new.	vaovao izy ireo
It also started at the bottom.	nanomboka teo ambany koa izany
it is for me.	ho ahy izy
Good looking job.	asa tsara mijery
It should have looked earlier.	tokony ho nijery tany aloha
These are my favorites.	ireo no tena tiako indrindra
So much more than any other game.	be lavitra noho ny lalao hafa
But we got nothing else.	tsy nahazo zavatra hafa anefa izahay
There is no better result.	tsy misy vokatra tsara kokoa
He did not do those things.	tsy nanao ireo zavatra ireo izy
But now they are doing well.	mandeha tsara anefa izy ireo izao
Yes, he did something for her.	eny nanao zavatra ho azy izy
It was also new to him.	vaovao taminy koa izany
Without you, without me.	raha tsy misy ianao dia tsy misy ahy
They started where they were.	nanomboka teo aminny toerana misy azy ireo izy ireo
And that is exactly what it is.	ary izany tokoa no izy
There may still be time.	mety mbola hisy ny fotoana
Maybe it did a little.	angamba nanao kely izany
That’s the way, of course.	izany no lalana mazava ho azy
Which is kind of fun.	izay somary mahafinaritra
Yes, there was a little fight.	eny nisy ady kely
But in fact it was worth it.	saingy raha ny marina dia mendrika izany
He was very happy there.	faly be izy teo
From the photo.	avy aminny sary
It will be a good day.	ho tsara io andro io
However, it could be worse.	na izany aza mety ho ratsy kokoa izany
They were really fun.	tena nahafinaritra azy ireo
And that’s the only time.	ary io ihany no fotoana
However, not at that time.	na izany aza tsy taminizany fotoana izany
But that is not the real reason.	tsy izany anefa no tena antony
It is clear to me now.	efa mazava amiko izao
It should be clearly visible.	tokony ho hita mazava tsara izany
That's a nice word.	teny mahafinaritra izany
Like the picture.	toy ny sary
Very badly done.	tena ratsy natao
But they do it fast.	saingy manao izany haingana izy ireo
He knew he had to do it.	fantany fa tokony hanao izany izy
But they all did very well.	tena nanao tsara anefa izy rehetra
You can find it for yourself.	afaka mahita izany ho anao ianao
There are too many of us.	betsaka loatra isika
New, ladies.	vaovao vehivavy
In fact, it has to.	raha ny marina dia tsy maintsy
In fact, it is very necessary.	raha ny marina dia tena ilaina izany
There is nothing necessary in life.	tsy misy na inona na inona ilaina aminny fiainana
I always see it in the end.	hitako foana izany aminny farany
I used to think like you.	nieritreritra toa anao aho taloha
Lots of people here.	betsaka ny olona eto
Yes, and many more.	eny ary mbola maro kokoa
I just think there is more to life than that.	heveriko fotsiny fa misy mihoatra noho izany ny fiainana
And it goes faster than any car.	ary mandeha haingana kokoa noho ny fiara rehetra
This is generally for two reasons.	izany dia ankapobeny noho ny antony roa
Indeed, he was wrong.	eny tokoa diso lalana izy
Maybe not, but maybe.	angamba tsy izany fa angamba
